Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Francis,Arca,@@@@@, @@@@@ - Single,Deconstructed Club,1:02:20,33,62,14,22,28,9,21
Francis,Camellia,#1f1e33 - #00102g version,U.U.F.O,Rhythm Game,5:41,39,99,0,0,29,9,8
Francis,Kim Petras,<demons>,TURN OFF THE LIGHT,Escape Room,2:55,51,71,19,0,3,33,43
Francis,Lady Gaga,1000 Doves - Planningtorock Remix,Dawn Of Chromatica,Progressive Trance,5:05,66,54,0,93,4,34,38
Francis,Laufey,Above The Chinese Restaurant,Everything I Know About Love,Classical Jazz,3:43,27,29,84,0,4,46,19
Francis,LeaF,Alice in Misanthrope - 2018 ver.,Doppelganger,Rhythm Game,2:24,39,98,0,5,11,6,32
Francis,Arca,Altar,kick iiii,Art Pop,3:47,34,34,48,0,23,28,38
Francis,Arca,Araña,KICK ii,Deconstructed Club,4:16,37,45,1,0,13,38,36
Francis,Bjork,Arisen My Senses,Utopia,Art Pop,4:59,33,70,12,0,4,11,38
Francis,Caroline Polacheck,Billions,"Desire, I Want To Turn Into You",Art Pop,4:57,58,68,17,0,11,10,36
Francis,Bjork,Black Lake,Vulnicura,Art Pop,10:08,15,22,44,0,4,8,4
Francis,Kim Petras,Bloody Valentine,TURN OFF THE LIGHT,Escape Room,2:41,57,80,4,0,6,9,20
Francis,Arca,Born Yesterday,KICK ii,Art Pop,3:18,40,65,5,0,5,12,10
Francis,PinkPantheress,Boy's a liar Pt. 2,Boy's a liar Pt. 2 - Single,Pop,2:11,70,81,25,0,5,25,86
Francis,Beyonce,BREAK MY SOUL,RENAISSANCE,Pop,4:38,69,89,6,0,8,27,86
Francis,Caroline Polacheck,Bunny Is A Rider,"Desire, I Want To Turn Into You",Art Pop,3:13,80,66,7,0,5,19,43
Francis,Caroline Polacheck,Caroline Shut Up,Pang,Art Pop,3:32,55,45,12,0,3,14,11
Francis,Kim Petras,Clarity,Clarity,Escape Room,2:02,70,69,0,0,9,23,57
Francis,Caroline Polacheck,Crude Drawing Of An Angel,"Desire, I Want To Turn Into You",Art Pop,3:29,59,37,74,2,4,10,22
Francis,Beyonce,CUFF IT,RENAISSANCE,RnB,3:45,78,69,4,0,14,7,64
Francis,Caroline Polacheck,Dang,Dang - Single,Art Pop,2:45,82,39,2,18,6,38,52
