"","Listener","Artist","Song","Album","Genre","Duration","Danceable","Energetic","Acoustic","Instrumental","Speechful","Liveness","Valence","Emotion"
"1","Francis","Arca","@@@@@"," @@@@@ - Single","Deconstructed Club","1:02:20",33,62,14,22,28,9,21,"Excited"
"2","Francis","Camellia","#1f1e33 - #00102g version","U.U.F.O","Rhythm Game","5:41",39,99,0,0,29,9,8,"Agitated"
"3","Francis","Kim Petras","<demons>","TURN OFF THE LIGHT","Escape Room","2:55",51,71,19,0,3,33,43,"Dynamic"
"4","Francis","Lady Gaga","1000 Doves - Planningtorock Remix","Dawn Of Chromatica","Progressive Trance","5:05",66,54,0,93,4,34,38,"Moderate"
"5","Francis","Laufey","Above The Chinese Restaurant","Everything I Know About Love","Classical Jazz","3:43",27,29,84,0,4,46,19,"Tired"
"6","Francis","LeaF","Alice in Misanthrope - 2018 ver.","Doppelganger","Rhythm Game","2:24",39,98,0,5,11,6,32,"Frenetic"
"7","Francis","Arca","Altar","kick iiii","Art Pop","3:47",34,34,48,0,23,28,38,"Mellow"
"8","Francis","Arca","Araña","KICK ii","Deconstructed Club","4:16",37,45,1,0,13,38,36,"Moderate"
"9","Francis","Bjork","Arisen My Senses","Utopia","Art Pop","4:59",33,70,12,0,4,11,38,"Excited"
"10","Francis","Caroline Polacheck","Billions","Desire, I Want To Turn Into You","Art Pop","4:57",58,68,17,0,11,10,36,"Excited"
"11","Francis","Bjork","Black Lake","Vulnicura","Art Pop","10:08",15,22,44,0,4,8,4,"Tired"
"12","Francis","Kim Petras","Bloody Valentine","TURN OFF THE LIGHT","Escape Room","2:41",57,80,4,0,6,9,20,"Restless"
"13","Francis","Arca","Born Yesterday","KICK ii","Art Pop","3:18",40,65,5,0,5,12,10,"Restless"
"14","Francis","PinkPantheress","Boy's a liar Pt. 2","Boy's a liar Pt. 2 - Single","Pop","2:11",70,81,25,0,5,25,86,"Exuberant"
"15","Francis","Beyonce","BREAK MY SOUL","RENAISSANCE","Pop","4:38",69,89,6,0,8,27,86,"Exuberant"
"16","Francis","Caroline Polacheck","Bunny Is A Rider","Desire, I Want To Turn Into You","Art Pop","3:13",80,66,7,0,5,19,43,"Dynamic"
"17","Francis","Caroline Polacheck","Caroline Shut Up","Pang","Art Pop","3:32",55,45,12,0,3,14,11,"Dull"
"18","Francis","Kim Petras","Clarity","Clarity","Escape Room","2:02",70,69,0,0,9,23,57,"Dynamic"
"19","Francis","Caroline Polacheck","Crude Drawing Of An Angel","Desire, I Want To Turn Into You","Art Pop","3:29",59,37,74,2,4,10,22,"Mellow"
"20","Francis","Beyonce","CUFF IT","RENAISSANCE","RnB","3:45",78,69,4,0,14,7,64,"Intense"
"21","Francis","Caroline Polacheck","Dang","Dang - Single","Art Pop","2:45",82,39,2,18,6,38,52,"Balanced"
"22","Francis","LSPLASH","Dawn Of The Doors","Doors (Original Game Soundtrack) Vol. 1","Dark Ambient","3:54",41,7,28,86,3,11,6,"Sluggish"
"23","Francis","Machinedrum","DDD","SXLND","Intelligent Dance Music","6:01",90,57,1,45,12,20,37,"Moderate"
"24","Francis","Taylor Swift","Delicate","Reputation","Pop","3:52",75,40,22,0,7,9,5,"Tired"
"25","Francis","Caroline Polacheck","Door","Pang","Art Pop","5:22",68,44,22,0,4,26,25,"Moderate"
"26","Francis","Safety Trance","El Alma Que Te Trajo","Noches de Terror","Deconstructed Club","2:24",45,95,3,0,7,29,56,"Vibrant"
"27","Francis","Arca","Electra Rex","KicK iii","Deconstructed Club","2:08",56,70,0,1,38,20,47,"Dynamic"
"28","Francis","Slayyyter","Erotic Electronic","STAR****ER","Escape Room","2:23",80,76,4,0,11,15,34,"Excited"
"29","Francis","Sabrina Carpenter","Feather","emails i can't send fwd:","Pop","3:05",79,69,9,0,3,9,84,"Hyper"
"30","Francis","SZA","Garden (Say It Like Dat)","Ctrl","RnB","3:28",73,46,7,0,28,12,55,"Stable"
"31","Francis","Charli XCX","Gone","Charli","Art Pop","4:06",91,44,4,0,7,7,66,"Active"
"32","Francis","Purple Disco Machine","Hands To The Sky","Exotica","House","4:29",76,81,0,0,20,33,85,"Exuberant"
"33","Francis","Arca","Harness","&&&&&","Intelligent Dance Music","2:00",63,48,1,60,5,8,20,"Dull"
"34","Francis","Beyonce","HEATED","RENAISSANCE","Pop","4:20",79,73,6,0,16,27,50,"Dynamic"
"35","Francis","Jessie Ware","Hello Love","That! Feels Good","Pop Soul","4:42",49,75,12,0,5,11,38,"Excited"
"36","Francis","Caroline Polacheck","Hopedrunk Everasking","Desire, I Want To Turn Into You","Art Pop","3:19",26,24,94,0,4,38,8,"Tired"
"37","Francis","Addison Rae","I got it bad","AR","Pop","2:52",66,82,2,0,3,38,30,"Frenetic"
"38","Francis","Bill Wurtz","I'm Best Friends With My Own Front Door","IBFWMOFD - Single","Comedy Rock","2:21",83,49,13,0,17,71,77,"Active"
"39","Francis","SOPHIE","Immaterial","OIL OF EVERY PEARL'S UN-INSIDES","Deconstructed Club","3:52",78,72,12,1,8,33,83,"Hyper"
"40","Francis","Troye Sivan","In My Room","Something To Give Each Other","Pop","3:13",72,57,4,0,4,43,63,"Active"
"41","Francis","Arca","Intimate Flesh","KicK iii","Deconstructed Club","3:32",38,58,9,0,15,26,14,"Dull"
"42","Francis","Diana Ross","It's My House","The Boss","Disco","4:34",76,67,29,0,7,8,87,"Hyper"
"43","Francis","Arca","Joya","KicK iii","Art Pop","3:55",38,53,25,0,4,37,36,"Moderate"
"44","Francis","Laufey","Just Like Chet","Everything I Know About Love","Classical Jazz","3:36",42,14,98,0,5,9,45,"Serene"
"45","Francis","Arca","La Infinita","kiCK iiiii","Dark Ambient","4:49",17,19,96,88,4,10,13,"Sluggish"
"46","Francis","BilliumMoto","Life Flashes Before Weeb Eyes","Gimme More","Rhythm Game","3:07",71,87,1,9,5,21,90,"Exuberant"
"47","Francis","SZA","Love Galore (feat. Travis Scott)","SOS","RnB","4:35",80,59,11,0,7,16,41,"Stable"
"48","Francis","Arca","Mequetrefe","kICk i","Deconstructed Club","2:20",67,82,2,0,20,67,67,"Elated"
"49","Francis","Slayyyter","Mine","Mine - Single","Escape Room","2:39",69,73,9,1,3,14,46,"Dynamic"
"50","Francis","Ariana Grande","motive (feat. Doja Cat)","Positions","Pop","2:47",79,74,7,0,7,17,66,"Intense"
"51","Francis","Beyonce","MOVE (Feat. Grace Jones and Tems)","RENAISSANCE","RnB","3:23",88,63,2,3,9,9,81,"Hyper"
"52","Francis","Arca","Mutant","Mutant","Intelligent Dance Music","7:27",24,81,21,80,8,19,6,"Agitated"
"53","Francis","SZA","Notice Me","SOS","RnB","2:40",72,68,28,0,12,11,78,"Intense"
"54","Francis","Slayyyter","Out Of Time","STAR****ER","Escape Room","3:10",68,81,1,0,3,26,53,"Vibrant"
"55","Francis","XI","Over The Top","World Fragments","Rhythm Game","4:21",38,91,0,11,7,38,11,"Agitated"
"56","Francis","Kylie Minogue","Padam Padam","Tension","Dance Pop","2:46",74,62,22,0,24,10,70,"Intense"
"57","Francis","Caroline Polacheck","Pang","Pang","Art Pop","3:33",71,68,30,0,4,12,55,"Dynamic"
"58","Francis","Caroline Polacheck","Parachute","Pang","Art Pop","3:32",20,17,80,0,3,8,4,"Sluggish"
"59","Francis","Jessie Ware","Pearls","That! Feels Good","Pop Soul","4:03",63,82,1,0,12,21,72,"Elated"
"60","Francis","Arca","Piel","Arca","Art Pop","4:07",17,17,59,74,4,9,4,"Sluggish"
"61","Francis","Beyonce","PLASTIC OFF THE SOFA","RENAISSANCE","RnB","4:14",62,71,14,0,11,58,31,"Excited"
"62","Francis","Arca","Prada","KICK ii","Deconstructed Club","2:43",62,71,10,0,3,24,35,"Excited"
"63","Francis","SOPHIE","Pretending","OIL OF EVERY PEARL'S UN-INSIDES","Ambient","5:53",20,42,66,82,4,12,8,"Dull"
"64","Francis","Caroline Polacheck","Pretty In Possible","Desire, I Want To Turn Into You","Art Pop","3:36",71,62,11,0,4,11,25,"Excited"
"65","Francis","Silentroom","Protoflicker","Rainbow Frontier","Progressive Trance","6:56",33,91,0,75,5,6,36,"Frenetic"
